D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)    Static Pressure Probe (PSIG)
12.336	-0.155	82.766	106.353	-13.475
12.367	-0.109	82.795	107.137	-13.437
12.400	-0.201	82.902	106.095	-13.479
12.430	-0.101	82.829	106.806	-13.488
12.459	-0.206	82.893	106.341	-13.484
12.489	-0.151	82.812	106.157	-13.467
12.519	-0.226	82.681	107.934	-13.484
12.548	-0.147	82.745	106.304	-13.441
12.578	-0.189	82.757	107.198	-13.522
12.608	-0.159	82.817	105.814	-13.484
12.637	-0.143	82.812	105.005	-13.479
12.670	-0.147	82.694	106.708	-13.433
12.702	-0.206	82.630	105.483	-13.509
12.731	-0.193	82.621	107.223	-13.471
12.761	-0.243	82.681	106.402	-13.501
12.792	-0.096	82.494	106.218	-13.424
12.827	-0.172	82.554	105.740	-13.496
12.860	-0.226	82.537	106.169	-13.535
12.890	-0.080	82.494	106.022	-13.458
12.920	-0.214	82.596	105.654	-13.539
12.950	-0.109	82.486	105.054	-13.479
12.980	-0.105	82.295	104.404	-13.433
13.010	-0.210	82.341	106.243	-13.479
13.040	-0.289	82.282	106.647	-13.513
13.070	-0.222	82.273	104.662	-13.505
13.100	-0.193	82.244	104.894	-13.530
13.130	-0.189	82.159	104.968	-13.509
13.160	-0.252	82.078	105.201	-13.547
13.190	-0.080	82.019	104.527	-13.518
13.220	-0.235	82.057	105.274	-13.505
13.249	-0.113	81.925	105.201	-13.467
13.279	-0.168	81.815	104.943	-13.454
13.309	-0.134	81.921	103.313	-13.475
13.339	-0.105	81.802	104.073	-13.467
13.368	-0.130	81.811	103.865	-13.513
13.398	-0.168	81.743	104.147	-13.479
13.428	-0.206	81.696	103.816	-13.560
13.458	-0.189	81.654	104.404	-13.488
13.488	-0.206	81.628	103.791	-13.552
13.518	-0.214	81.645	103.755	-13.518
13.548	-0.168	81.667	102.921	-13.522
13.580	-0.143	81.437	102.774	-13.484
13.613	-0.256	81.310	104.245	-13.505
13.643	-0.273	81.319	103.546	-13.522
13.672	-0.101	81.212	102.872	-13.513
13.702	-0.180	81.166	103.816	-13.518
13.731	-0.180	81.170	103.289	-13.569
13.760	-0.193	81.098	103.926	-13.535
13.790	-0.206	81.089	102.836	-13.569
13.820	-0.147	80.924	102.309	-13.475
13.850	-0.268	80.835	103.179	-13.530
13.879	-0.214	80.932	102.566	-13.577
13.909	-0.180	80.779	102.688	-13.556
13.939	-0.226	80.644	103.669	-13.552
13.969	-0.159	80.584	103.546	-13.535
13.999	-0.168	80.593	101.978	-13.539
14.029	-0.113	80.584	101.929	-13.513
14.059	-0.117	80.347	101.255	-13.488
14.089	-0.206	80.279	102.394	-13.539
14.119	-0.164	80.003	103.032	-13.513
14.149	-0.231	79.939	102.345	-13.518
14.179	-0.113	79.880	101.720	-13.501
14.208	-0.197	79.825	100.813	-13.547
14.237	-0.206	79.583	102.345	-13.513
14.267	-0.130	79.404	102.652	-13.539
14.299	-0.143	79.201	101.230	-13.513
14.329	-0.134	79.010	101.279	-13.577
14.360	-0.268	78.751	101.855	-13.581
14.390	-0.222	78.466	102.051	-13.564
14.420	-0.176	78.101	100.495	-13.573
14.450	-0.214	77.668	101.843	-13.543
14.479	-0.080	77.359	100.887	-13.552
14.508	-0.172	76.777	100.997	-13.569
14.538	-0.180	76.332	100.250	-13.560
14.568	-0.084	75.614	101.524	-13.547
14.597	-0.109	74.973	99.968	-13.581
14.627	-0.138	74.286	101.083	-13.615
14.657	-0.231	73.399	100.997	-13.590
14.687	-0.197	72.444	101.929	-13.619
14.717	-0.122	71.472	100.409	-13.564
14.747	-0.331	70.441	101.451	-13.675
14.776	-0.126	69.159	101.487	-13.611
14.805	-0.109	67.843	99.723	-13.653
14.835	-0.159	66.328	100.446	-13.632
14.865	-0.122	64.685	100.862	-13.670
14.895	-0.268	63.039	100.556	-13.743
14.925	-0.105	61.303	99.527	-13.636
14.954	-0.281	59.758	100.973	-13.751
14.984	-0.252	58.179	100.262	-13.760
15.013	-0.172	56.545	100.764	-13.789
15.042	-0.294	55.064	100.446	-13.836
15.072	-0.151	53.307	99.110	-13.810
15.101	-0.210	51.393	101.071	-13.857
15.130	-0.113	49.288	99.502	-13.658
15.159	-0.226	46.576	100.936	-13.445
15.189	-0.239	43.341	99.919	-13.047
15.219	-0.096	39.734	99.367	-12.474
15.248	-0.138	36.020	99.490	-11.803
15.276	-0.117	32.230	98.693	-11.120
15.306	-0.247	28.474	99.833	-10.419
15.336	-0.138	24.744	98.877	-9.583
15.364	-0.164	21.229	99.478	-8.811
15.393	-0.113	17.868	99.931	-8.013
15.421	-0.126	14.681	99.441	-7.156
15.450	-0.159	11.778	100.372	-6.269
15.479	-0.193	9.231	99.502	-5.356
15.508	-0.189	6.952	99.269	-4.422
15.537	-0.130	4.923	100.127	-3.557
15.565	-0.130	3.255	99.306	-2.784
15.593	-0.134	1.770	100.139	-2.114
15.621	-0.151	0.722	98.620	-1.524
15.652	-0.168	0.102	99.992	-1.074
15.682	-0.159	0.144	98.987	-0.675
15.715	-0.189	0.340	100.103	-0.323
15.743	-0.176	0.374	100.139	-0.115
15.773	-0.210	0.267	100.029	-0.195
15.803	-0.159	0.204	98.583	-0.187
