"Date and Time Run #2","Time (s) Run #2","Black Bottle","Brushed Aluminum Bottle","White Bottle"
04/16/2026 03:44:41 pm,152.000,23.5,22.6,22.2
04/16/2026 03:44:41 pm,152.500,23.5,22.6,
04/16/2026 03:44:42 pm,153.000,23.5,22.6,22.2
04/16/2026 03:44:42 pm,153.500,23.5,22.6,
04/16/2026 03:44:43 pm,154.000,23.5,22.6,22.2
04/16/2026 03:44:43 pm,154.500,23.5,22.6,
04/16/2026 03:44:44 pm,155.000,23.5,22.6,22.2
04/16/2026 03:44:44 pm,155.500,23.5,22.6,
04/16/2026 03:44:45 pm,156.000,23.5,22.6,22.2
04/16/2026 03:44:45 pm,156.500,23.5,22.6,
04/16/2026 03:44:46 pm,157.000,23.5,22.6,22.2
04/16/2026 03:44:46 pm,157.500,23.5,22.6,
04/16/2026 03:44:47 pm,158.000,23.5,22.6,22.2
04/16/2026 03:44:47 pm,158.500,23.5,22.6,
04/16/2026 03:44:48 pm,159.000,23.5,22.6,22.2
04/16/2026 03:44:48 pm,159.500,23.5,22.6,
04/16/2026 03:44:49 pm,160.000,23.5,22.6,22.2
04/16/2026 03:44:49 pm,160.500,23.5,22.6,
04/16/2026 03:44:50 pm,161.000,23.6,22.6,22.2
04/16/2026 03:44:50 pm,161.500,23.5,22.6,
04/16/2026 03:44:51 pm,162.000,23.5,22.6,22.2
04/16/2026 03:44:51 pm,162.500,23.5,22.7,
04/16/2026 03:44:52 pm,163.000,23.5,22.6,22.2
04/16/2026 03:44:52 pm,163.500,23.5,22.6,
04/16/2026 03:44:53 pm,164.000,23.5,22.6,22.2
04/16/2026 03:44:53 pm,164.500,23.5,22.6,
04/16/2026 03:44:54 pm,165.000,23.5,22.7,22.2
04/16/2026 03:44:54 pm,165.500,23.6,22.7,
04/16/2026 03:44:55 pm,166.000,23.6,22.6,22.2
04/16/2026 03:44:55 pm,166.500,23.6,22.6,
04/16/2026 03:44:56 pm,167.000,23.6,22.7,22.2
04/16/2026 03:44:56 pm,167.500,23.6,22.7,
04/16/2026 03:44:57 pm,168.000,23.6,22.7,22.2
04/16/2026 03:44:57 pm,168.500,23.6,22.7,
04/16/2026 03:44:58 pm,169.000,23.6,22.7,22.2
04/16/2026 03:44:58 pm,169.500,23.6,22.7,
04/16/2026 03:44:59 pm,170.000,23.6,22.7,22.2
04/16/2026 03:44:59 pm,170.500,23.6,22.7,
04/16/2026 03:45:00 pm,171.000,23.6,22.7,22.2
04/16/2026 03:45:00 pm,171.500,23.6,22.6,
04/16/2026 03:45:01 pm,172.000,23.6,22.7,22.2
04/16/2026 03:45:01 pm,172.500,23.6,22.6,
04/16/2026 03:45:02 pm,173.000,23.6,22.7,22.2
04/16/2026 03:45:02 pm,173.500,23.6,22.7,
04/16/2026 03:45:03 pm,174.000,23.6,22.7,22.2
04/16/2026 03:45:03 pm,174.500,23.6,22.7,
04/16/2026 03:45:04 pm,175.000,23.6,22.7,22.2
04/16/2026 03:45:04 pm,175.500,23.6,22.7,
04/16/2026 03:45:05 pm,176.000,23.6,22.7,22.2
04/16/2026 03:45:05 pm,176.500,23.6,22.7,
04/16/2026 03:45:06 pm,177.000,23.7,22.7,22.3
04/16/2026 03:45:06 pm,177.500,23.7,22.7,
04/16/2026 03:45:07 pm,178.000,23.6,22.7,22.2
04/16/2026 03:45:07 pm,178.500,23.6,22.7,
04/16/2026 03:45:08 pm,179.000,23.6,22.7,22.2
04/16/2026 03:45:08 pm,179.500,23.7,22.7,
04/16/2026 03:45:09 pm,180.000,23.7,22.7,22.3
04/16/2026 03:45:09 pm,180.500,23.7,22.7,
04/16/2026 03:45:10 pm,181.000,23.7,22.7,22.2
