sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
1.700000000000000000e+01,0.000000000000000000e+00,3.531649923324584961e+01,-4.500000000000000000e+01,2.028300000000000125e+02
1.700000000000000000e+01,1.000000000000000000e+00,3.531649923324584961e+01,0.000000000000000000e+00,1.834000000000000057e+02
1.700000000000000000e+01,2.000000000000000000e+00,3.531649923324584961e+01,4.500000000000000000e+01,2.118000000000000114e+02
1.800000000000000000e+01,0.000000000000000000e+00,3.727827048301696777e+01,-4.500000000000000000e+01,2.051999999999999886e+02
1.800000000000000000e+01,1.000000000000000000e+00,3.727827048301696777e+01,0.000000000000000000e+00,1.838000000000000114e+02
1.800000000000000000e+01,2.000000000000000000e+00,3.727827048301696777e+01,4.500000000000000000e+01,2.120000000000000000e+02
1.900000000000000000e+01,0.000000000000000000e+00,3.924023818969726562e+01,-4.500000000000000000e+01,2.051999999999999886e+02
1.900000000000000000e+01,1.000000000000000000e+00,3.924023818969726562e+01,0.000000000000000000e+00,1.835999999999999943e+02
1.900000000000000000e+01,2.000000000000000000e+00,3.924023818969726562e+01,4.500000000000000000e+01,2.120000000000000000e+02
2.000000000000000000e+01,0.000000000000000000e+00,4.120258212089538574e+01,-4.500000000000000000e+01,2.048000000000000114e+02
2.000000000000000000e+01,1.000000000000000000e+00,4.120258212089538574e+01,0.000000000000000000e+00,1.834000000000000057e+02
2.000000000000000000e+01,2.000000000000000000e+00,4.120258212089538574e+01,4.500000000000000000e+01,2.121999999999999886e+02
2.100000000000000000e+01,0.000000000000000000e+00,4.316476249694824219e+01,-4.500000000000000000e+01,2.048000000000000114e+02
2.100000000000000000e+01,1.000000000000000000e+00,4.316476249694824219e+01,0.000000000000000000e+00,1.831699999999999875e+02
2.100000000000000000e+01,2.000000000000000000e+00,4.316476249694824219e+01,4.500000000000000000e+01,2.125999999999999943e+02
2.200000000000000000e+01,0.000000000000000000e+00,4.512612152099609375e+01,-4.500000000000000000e+01,2.051999999999999886e+02
2.200000000000000000e+01,1.000000000000000000e+00,4.512612152099609375e+01,0.000000000000000000e+00,1.825999999999999943e+02
2.200000000000000000e+01,2.000000000000000000e+00,4.512612152099609375e+01,4.500000000000000000e+01,2.124000000000000057e+02
2.300000000000000000e+01,0.000000000000000000e+00,4.708757662773132324e+01,-4.500000000000000000e+01,2.064000000000000057e+02
2.300000000000000000e+01,1.000000000000000000e+00,4.708757662773132324e+01,0.000000000000000000e+00,1.844000000000000057e+02
2.300000000000000000e+01,2.000000000000000000e+00,4.708757662773132324e+01,4.500000000000000000e+01,2.130000000000000000e+02
2.400000000000000000e+01,0.000000000000000000e+00,4.904662275314331055e+01,-4.500000000000000000e+01,2.058000000000000114e+02
2.400000000000000000e+01,1.000000000000000000e+00,4.904662275314331055e+01,0.000000000000000000e+00,1.828000000000000114e+02
2.400000000000000000e+01,2.000000000000000000e+00,4.904662275314331055e+01,4.500000000000000000e+01,2.114000000000000057e+02
2.500000000000000000e+01,0.000000000000000000e+00,5.101145362854003906e+01,-4.500000000000000000e+01,2.054000000000000057e+02
2.500000000000000000e+01,1.000000000000000000e+00,5.101145362854003906e+01,0.000000000000000000e+00,1.825999999999999943e+02
2.500000000000000000e+01,2.000000000000000000e+00,5.101145362854003906e+01,4.500000000000000000e+01,2.123300000000000125e+02
2.600000000000000000e+01,0.000000000000000000e+00,5.297429871559143066e+01,-4.500000000000000000e+01,2.048000000000000114e+02
2.600000000000000000e+01,1.000000000000000000e+00,5.297429871559143066e+01,0.000000000000000000e+00,1.840000000000000000e+02
2.600000000000000000e+01,2.000000000000000000e+00,5.297429871559143066e+01,4.500000000000000000e+01,2.105999999999999943e+02
2.700000000000000000e+01,0.000000000000000000e+00,5.493863916397094727e+01,-4.500000000000000000e+01,2.044000000000000057e+02
2.700000000000000000e+01,1.000000000000000000e+00,5.493863916397094727e+01,0.000000000000000000e+00,1.834000000000000057e+02
2.700000000000000000e+01,2.000000000000000000e+00,5.493863916397094727e+01,4.500000000000000000e+01,2.121999999999999886e+02
2.800000000000000000e+01,0.000000000000000000e+00,5.690041971206665039e+01,-4.500000000000000000e+01,2.025999999999999943e+02
2.800000000000000000e+01,1.000000000000000000e+00,5.690041971206665039e+01,0.000000000000000000e+00,1.830000000000000000e+02
2.800000000000000000e+01,2.000000000000000000e+00,5.690041971206665039e+01,4.500000000000000000e+01,2.111999999999999886e+02
2.900000000000000000e+01,0.000000000000000000e+00,5.886289572715759277e+01,-4.500000000000000000e+01,2.033300000000000125e+02
2.900000000000000000e+01,1.000000000000000000e+00,5.886289572715759277e+01,0.000000000000000000e+00,1.838000000000000114e+02
2.900000000000000000e+01,2.000000000000000000e+00,5.886289572715759277e+01,4.500000000000000000e+01,2.120000000000000000e+02
3.000000000000000000e+01,0.000000000000000000e+00,6.082483696937561035e+01,-4.500000000000000000e+01,2.060000000000000000e+02
3.000000000000000000e+01,1.000000000000000000e+00,6.082483696937561035e+01,0.000000000000000000e+00,1.830000000000000000e+02
3.000000000000000000e+01,2.000000000000000000e+00,6.082483696937561035e+01,4.500000000000000000e+01,2.131999999999999886e+02
3.100000000000000000e+01,0.000000000000000000e+00,6.278596758842468262e+01,-4.500000000000000000e+01,2.048000000000000114e+02
3.100000000000000000e+01,1.000000000000000000e+00,6.278596758842468262e+01,0.000000000000000000e+00,1.825999999999999943e+02
3.100000000000000000e+01,2.000000000000000000e+00,6.278596758842468262e+01,4.500000000000000000e+01,2.121999999999999886e+02
3.200000000000000000e+01,0.000000000000000000e+00,6.474828290939331055e+01,-4.500000000000000000e+01,2.058000000000000114e+02
3.200000000000000000e+01,1.000000000000000000e+00,6.474828290939331055e+01,0.000000000000000000e+00,1.845999999999999943e+02
3.200000000000000000e+01,2.000000000000000000e+00,6.474828290939331055e+01,4.500000000000000000e+01,2.124000000000000057e+02
3.300000000000000000e+01,0.000000000000000000e+00,6.670993590354919434e+01,-4.500000000000000000e+01,2.048000000000000114e+02
